date,autoencoder_drift_score,dl_drift_detected
2013-03-24,0.18046544,False
2013-03-25,0.20761135,False
2013-03-26,0.4694102,False
2013-03-27,0.49529496,False
2013-03-28,0.27342513,False
2013-03-29,0.30857393,False
2013-03-30,0.7818855,True
2013-03-31,0.56648785,False
2013-04-01,0.65311974,False
2013-04-02,0.54585785,False
2013-04-03,0.4428275,False
2013-04-04,0.92395675,True
2013-04-05,0.49908915,False
2013-04-06,0.8511426,True
2013-04-07,1.1287533,True
2013-04-08,0.5722315,False
2013-04-09,0.45679,False
2013-04-10,0.7018138,False
2013-04-11,0.48523062,False
2013-04-12,0.5474394,False
2013-04-13,0.77062243,False
2013-04-14,0.42676896,False
2013-04-15,0.70199317,False
2013-04-16,0.831281,True
2013-04-17,0.57265586,False
2013-04-18,0.62381166,False
2013-04-19,0.7002103,False
2013-04-20,0.69374025,False
2013-04-21,0.5699577,False
2013-04-22,0.7577578,False
2013-04-23,0.49694395,False
2013-04-24,0.9170737,True
2013-04-25,0.44052038,False
2013-04-26,0.5057541,False
2013-04-27,0.46092504,False
2013-04-28,0.48794195,False
2013-04-29,0.5303335,False
2013-04-30,0.4063502,False
2013-05-01,0.44809294,False
2013-05-02,0.61619294,False
2013-05-03,0.3475221,False
2013-05-04,0.6710908,False
2013-05-05,0.19685686,False
2013-05-06,0.2521753,False
2013-05-07,0.22065687,False
2013-05-08,0.47602683,False
2013-05-09,0.558527,False
2013-05-10,0.13633287,False
2013-05-11,0.20586443,False
2013-05-12,0.20438753,False
2013-05-13,0.38758516,False
2013-05-14,0.42811462,False
2013-05-15,0.3654786,False
2013-05-16,0.48685426,False
2013-05-17,0.37014338,False
2013-05-18,0.5441266,False
2013-05-19,0.5790331,False
2013-05-20,0.49597102,False
2013-05-21,0.29423878,False
2013-05-22,0.3054853,False
2013-05-23,0.15582731,False
2013-05-24,0.25532976,False
2013-05-25,0.156238,False
2013-05-26,0.19663034,False
2013-05-27,0.15747976,False
2013-05-28,0.34031147,False
2013-05-29,0.35378534,False
2013-05-30,0.63736326,False
2013-05-31,0.22503312,False
2013-06-01,1.2553176,True
2013-06-02,1.2088815,True
2013-06-03,1.2132212,True
2013-06-04,0.90754265,True
2013-06-05,0.5341628,False
2013-06-06,0.40892038,False
2013-06-07,0.3374217,False
2013-06-08,0.35765174,False
2013-06-09,0.3685761,False
2013-06-10,0.36988527,False
2013-06-11,0.40492573,False
2013-06-12,0.51784664,False
2013-06-13,0.6192845,False
2013-06-14,0.47390166,False
2013-06-15,0.49066427,False
2013-06-16,0.5289436,False
2013-06-17,0.5373117,False
2013-06-18,0.90529156,True
2013-06-19,0.6584478,False
2013-06-20,1.0626352,True
2013-06-21,1.4921991,True
2013-06-22,0.6858965,False
2013-06-23,0.7323753,False
2013-06-24,0.6913763,False
2013-06-25,0.726446,False
2013-06-30,0.6660973,False
2013-07-01,3.449934,True
2013-07-02,1.2291658,True
2013-07-03,0.7269495,False
2013-07-04,0.61245394,False
2013-07-05,0.7042074,False
2013-07-06,0.57221633,False
2013-07-08,0.56344616,False
2014-01-17,1.0670748,True
