date,drift_score,drift_detected,ml_drift_detected,final_drift_detected
2013-03-31,3.014250897437527,True,True,True
2013-04-01,3.822552216176792,True,True,True
2013-04-02,4.750111106533327,True,True,True
2013-04-03,5.2624769697778895,True,True,True
2013-04-04,5.372900647201286,True,False,True
2013-04-05,5.505409060109362,True,False,True
2013-04-06,5.514242954303233,True,False,True
2013-04-07,5.408236223976774,True,False,True
2013-04-08,5.42148706526758,True,False,True
2013-04-09,5.258060022680953,True,False,True
2013-04-10,5.041629614931095,True,False,True
2013-04-11,5.04604656202803,True,False,True
2013-04-12,5.032795720737223,True,False,True
2013-04-13,4.962124567186249,True,False,True
2013-04-14,5.001877091058672,True,False,True
2013-04-15,4.948873725895441,True,False,True
2013-04-16,4.856117836859788,True,False,True
2013-04-17,4.732443318145583,True,False,True
2013-04-18,4.758945000727199,True,False,True
2013-04-19,4.617602693625251,True,False,True
2013-04-20,4.533680698783469,True,False,True
2013-04-21,4.604351852334442,True,False,True
2013-04-22,4.498345122007982,True,False,True
2013-04-23,4.542514592977341,True,False,True
2013-04-24,4.529263751686533,True,False,True
2013-04-25,4.352585867809098,True,False,True
2013-04-26,4.334918079421354,True,False,True
2013-04-27,4.449758703941687,True,False,True
2013-04-28,4.312833343936675,True,False,True
2013-04-29,4.290748608451995,True,False,True
2013-04-30,4.153823248446984,True,False,True
2013-05-01,4.149406301350047,True,False,True
2013-05-02,4.083152094896009,True,False,True
2013-05-03,3.990396205860356,True,False,True
2013-05-04,3.694460750365652,True,False,True
2013-05-05,3.53545065487596,True,False,True
2013-05-06,3.473613395518857,True,False,True
2013-05-07,3.4559456071311145,True,False,True
2013-05-08,3.473613395518857,True,False,True
2013-05-09,3.447111712937243,True,False,True
2013-05-10,3.3543558239015896,True,False,True
2013-05-11,3.447111712937243,True,False,True
2013-05-12,3.53545065487596,True,False,True
2013-05-13,3.63262349100855,True,False,True
2013-05-14,3.584037072942255,True,False,True
2013-05-15,3.5398676019728965,True,False,True
2013-05-16,3.473613395518857,True,False,True
2013-05-17,3.420610030355628,True,False,True
2013-05-18,3.3234371942230387,True,False,True
2013-05-19,3.274850776156744,True,False,True
2013-05-20,3.1467593103456037,True,False,True
2013-05-21,3.102589839376244,True,False,True
2013-05-22,2.930328902595745,True,False,True
2013-05-23,2.947996690983488,True,False,True
2013-05-24,2.912661114208002,True,False,True
2013-05-25,2.917078061304937,True,False,True
2013-05-26,2.8066543838815408,True,False,True
2013-05-27,2.6785629180704,True,False,True
2013-05-28,2.771318807106053,True,False,True
2013-05-29,2.7138984948458877,True,False,True
2013-05-30,2.576973134840874,True,False,True
2013-05-31,2.5302334979787364,True,True,True
2013-06-01,4.002612961973137,True,True,True
2013-06-02,4.724414054375444,True,True,True
2013-06-03,3.8687085363127016,True,True,True
2013-06-04,4.464118054892248,True,True,True
2013-06-05,5.219741352582267,True,True,True
2013-06-06,6.518644610433856,True,False,True
2013-06-07,8.063191761702132,True,False,True
2013-06-08,8.865285055574812,True,False,True
2013-06-09,9.011183591658243,True,False,True
2013-06-10,9.332329807627492,True,False,True
2013-06-11,8.777887569172544,True,False,True
2013-06-12,8.561367994435772,True,False,True
2013-06-13,15.263935594799127,True,False,True
2013-06-14,11.291345219956767,True,False,True
2013-06-15,11.758709412665503,True,False,True
2013-06-16,13.584604764283371,True,False,True
2013-06-17,12.061305086167785,True,False,True
2013-06-18,20.089734851569023,True,False,True
2013-06-19,15.425556537812682,True,False,True
2013-06-20,11.503043920089246,True,False,True
2013-06-21,10.511667940458617,True,False,True
2013-06-22,13.267221638834377,True,False,True
2013-06-23,17.397239382057666,True,False,True
2013-06-24,16.462943076616504,True,False,True
2013-06-25,17.263334956397234,True,False,True
2013-06-30,14.618846137477869,True,False,True
2013-07-01,8.878751119884772,True,False,True
2013-07-02,10.876351524385685,True,False,True
2013-07-03,12.29531360132538,True,False,True
2013-07-04,13.076431589169468,True,False,True
2013-07-05,11.634896633192811,True,False,True
2013-07-06,13.867853206413027,True,False,True
2013-07-08,13.361365349821677,True,False,True
2014-01-17,22.068187032527224,True,False,True
